locationid,zone,aisle,bay
288111,AR,12,12
288112,AR,12,13
288113,AR,12,14
288102,AR,12,3
288103,AR,12,4
288104,AR,12,5
288105,AR,12,6
288106,AR,12,7
288107,AR,12,8
288108,AR,12,9
288121,AR,13,10
288122,AR,13,11
288123,AR,13,12
288124,AR,13,13
288125,AR,13,14
288114,AR,13,3
288115,AR,13,4
288116,AR,13,5
288117,AR,13,6
288118,AR,13,7
288119,AR,13,8
288120,AR,13,9
288133,AR,14,10
288134,AR,14,11
288135,AR,14,12
288136,AR,14,13
288137,AR,14,14
288126,AR,14,3
288127,AR,14,4
288128,AR,14,5
288129,AR,14,6
288130,AR,14,7
288131,AR,14,8
288132,AR,14,9
288145,AR,15,10
288146,AR,15,11
288147,AR,15,12
288148,AR,15,13
288149,AR,15,14
288138,AR,15,3
288139,AR,15,4
288140,AR,15,5
288141,AR,15,6
288142,AR,15,7
288143,AR,15,8
288144,AR,15,9
288157,AR,16,10
288158,AR,16,11
288159,AR,16,12
288160,AR,16,13
288161,AR,16,14
288150,AR,16,3
288151,AR,16,4
288152,AR,16,5
288153,AR,16,6
288154,AR,16,7
288155,AR,16,8
288156,AR,16,9
288169,AR,17,10
288170,AR,17,11
288171,AR,17,12
288172,AR,17,13
288173,AR,17,14
288162,AR,17,3
288163,AR,17,4
288164,AR,17,5
288165,AR,17,6
288166,AR,17,7
288167,AR,17,8
288168,AR,17,9
288181,AR,18,10
288182,AR,18,11
288183,AR,18,12
288184,AR,18,13
288185,AR,18,14
288174,AR,18,3
288175,AR,18,4
288176,AR,18,5
288177,AR,18,6
288178,AR,18,7
288179,AR,18,8
288180,AR,18,9
288193,AR,19,10
288194,AR,19,11
288195,AR,19,12
288196,AR,19,13
288197,AR,19,14
288186,AR,19,3
288187,AR,19,4
288188,AR,19,5
288189,AR,19,6
288190,AR,19,7
288191,AR,19,8
288192,AR,19,9
287899,AR,2,1
287908,AR,2,10
287909,AR,2,11
287910,AR,2,12
287911,AR,2,13
287912,AR,2,14
287900,AR,2,2
287901,AR,2,3
287902,AR,2,4
287903,AR,2,5
287904,AR,2,6
287905,AR,2,7
287906,AR,2,8
287907,AR,2,9
288302,AR,20,10
288303,AR,20,11
288304,AR,20,12
288305,AR,20,13
288306,AR,20,14
288295,AR,20,3
288296,AR,20,4
288297,AR,20,5
288298,AR,20,6
288299,AR,20,7
288300,AR,20,8
288301,AR,20,9
287991,AR,3,1
288000,AR,3,10
288001,AR,3,11
288002,AR,3,12
288003,AR,3,13
288004,AR,3,14
287992,AR,3,2
287993,AR,3,3
287994,AR,3,4
287995,AR,3,5
287996,AR,3,6
287997,AR,3,7
287998,AR,3,8
287999,AR,3,9
288005,AR,4,1
288013,AR,4,10
288014,AR,4,11
288015,AR,4,12
288016,AR,4,13
288017,AR,4,14
288006,AR,4,3
288007,AR,4,4
288008,AR,4,5
288009,AR,4,6
288010,AR,4,7
288011,AR,4,8
288012,AR,4,9
288025,AR,5,10
288026,AR,5,11
288027,AR,5,12
288028,AR,5,13
288029,AR,5,14
288018,AR,5,3
288019,AR,5,4
288020,AR,5,5
288021,AR,5,6
288022,AR,5,7
288023,AR,5,8
288024,AR,5,9
288037,AR,6,10
288038,AR,6,11
288039,AR,6,12
288040,AR,6,13
288041,AR,6,14
288030,AR,6,3
288031,AR,6,4
288032,AR,6,5
288033,AR,6,6
288034,AR,6,7
288035,AR,6,8
288036,AR,6,9
288049,AR,7,10
288050,AR,7,11
288051,AR,7,12
288052,AR,7,13
288053,AR,7,14
288042,AR,7,3
288043,AR,7,4
288044,AR,7,5
288045,AR,7,6
288046,AR,7,7
288047,AR,7,8
288048,AR,7,9
288061,AR,8,10
288062,AR,8,11
288063,AR,8,12
288064,AR,8,13
288065,AR,8,14
288054,AR,8,3
288055,AR,8,4
288056,AR,8,5
288057,AR,8,6
288058,AR,8,7
288059,AR,8,8
288060,AR,8,9
288073,AR,9,10
288074,AR,9,11
288075,AR,9,12
288076,AR,9,13
288077,AR,9,14
288066,AR,9,3
288067,AR,9,4
288068,AR,9,5
288069,AR,9,6
288070,AR,9,7
288071,AR,9,8
288072,AR,9,9
178583,B,0,10
178584,B,0,11
178585,B,0,12
178586,B,0,13
178587,B,0,14
178588,B,0,15
178589,B,0,16
178590,B,0,17
178591,B,0,18
178592,B,0,19
178593,B,0,20
178594,B,0,21
178595,B,0,22
178596,B,0,23
178597,B,0,24
178598,B,0,25
178599,B,0,26
178600,B,0,27
178601,B,0,28
178602,B,0,29
178576,B,0,3
178603,B,0,30
204260,B,0,31
188115,B,0,32
204261,B,0,33
188116,B,0,34
204262,B,0,35
188117,B,0,36
204263,B,0,37
188118,B,0,38
204264,B,0,39
178577,B,0,4
188119,B,0,40
204265,B,0,41
188120,B,0,42
204266,B,0,43
188121,B,0,44
204267,B,0,45
188122,B,0,46
204268,B,0,47
188123,B,0,48
204269,B,0,49
178578,B,0,5
188124,B,0,50
204270,B,0,51
188125,B,0,52
204271,B,0,53
188126,B,0,54
204272,B,0,55
188127,B,0,56
204273,B,0,57
188128,B,0,58
204274,B,0,59
178579,B,0,6
188129,B,0,60
204290,B,0,61
204275,B,0,62
204276,B,0,63
204277,B,0,64
204278,B,0,65
204279,B,0,66
204280,B,0,67
204281,B,0,68
204282,B,0,69
178580,B,0,7
204283,B,0,70
204284,B,0,71
204285,B,0,72
204286,B,0,73
204287,B,0,74
204288,B,0,75
204289,B,0,76
178581,B,0,8
178582,B,0,9
178605,B,1,1
178614,B,1,10
178615,B,1,11
178616,B,1,12
178617,B,1,13
178618,B,1,14
178619,B,1,15
178620,B,1,16
178621,B,1,17
178622,B,1,18
178623,B,1,19
178606,B,1,2
178624,B,1,20
178625,B,1,21
178626,B,1,22
178627,B,1,23
178628,B,1,24
178629,B,1,25
178630,B,1,26
178631,B,1,27
178632,B,1,28
178633,B,1,29
178607,B,1,3
178634,B,1,30
178635,B,1,31
178636,B,1,32
178637,B,1,33
178638,B,1,34
178639,B,1,35
178640,B,1,36
178641,B,1,37
