locationid,zone,aisle,bay
277594,DWD,1,21
280197,DWD,1,210
280198,DWD,1,211
280199,DWD,1,212
280200,DWD,1,213
280201,DWD,1,214
280202,DWD,1,215
280203,DWD,1,216
280204,DWD,1,217
280205,DWD,1,218
280206,DWD,1,219
277595,DWD,1,22
280207,DWD,1,220
280208,DWD,1,221
280209,DWD,1,222
280210,DWD,1,223
280211,DWD,1,224
280212,DWD,1,225
280213,DWD,1,226
280214,DWD,1,227
280215,DWD,1,228
280216,DWD,1,229
277596,DWD,1,23
280217,DWD,1,230
280218,DWD,1,231
280219,DWD,1,232
280220,DWD,1,233
280221,DWD,1,234
280222,DWD,1,235
280223,DWD,1,236
280224,DWD,1,237
280225,DWD,1,238
280226,DWD,1,239
277597,DWD,1,24
280227,DWD,1,240
280228,DWD,1,241
280229,DWD,1,242
280230,DWD,1,243
280231,DWD,1,244
280232,DWD,1,245
280233,DWD,1,246
280234,DWD,1,247
280235,DWD,1,248
280236,DWD,1,249
277598,DWD,1,25
280237,DWD,1,250
280238,DWD,1,251
280239,DWD,1,252
280240,DWD,1,253
280241,DWD,1,254
280242,DWD,1,255
280243,DWD,1,256
280244,DWD,1,257
280245,DWD,1,258
280246,DWD,1,259
277599,DWD,1,26
280247,DWD,1,260
280248,DWD,1,261
280249,DWD,1,262
280250,DWD,1,263
280251,DWD,1,264
280252,DWD,1,265
280253,DWD,1,266
280254,DWD,1,267
280255,DWD,1,268
280256,DWD,1,269
277600,DWD,1,27
280257,DWD,1,270
280258,DWD,1,271
280259,DWD,1,272
280260,DWD,1,273
280261,DWD,1,274
280262,DWD,1,275
280263,DWD,1,276
280264,DWD,1,277
280265,DWD,1,278
280266,DWD,1,279
277601,DWD,1,28
280267,DWD,1,280
280268,DWD,1,281
280269,DWD,1,282
280270,DWD,1,283
280271,DWD,1,284
280272,DWD,1,285
280273,DWD,1,286
280274,DWD,1,287
280275,DWD,1,288
280276,DWD,1,289
277602,DWD,1,29
280277,DWD,1,290
280278,DWD,1,291
280279,DWD,1,292
280280,DWD,1,293
280281,DWD,1,294
280282,DWD,1,295
280283,DWD,1,296
280284,DWD,1,297
280285,DWD,1,298
